"","t501","t502","t503","MGT","CUG","Pmax","code","t50f1","t50f2","MGTf","CUGf","Pmaxf","t50n1","t50n2","MGTn","Pmaxn"
"98",29,27,NA,33.8888888888889,0.00229072398190045,0.36,1,28.1319949935333,NA,28.4116613584485,0.0612533259485832,0.386905932979655,46.8221049323563,278.625841080773,48.459888354014,0.567021250407092
"99",17,16,63,29.2666666666667,0.00204278036025567,0.6,1,22.5776504443738,46.6148140544216,22.992315932385,0.0498875427480405,0.662992531019354,17.8217715960605,45.3325243259347,18.0858084062168,0.600421183209179
"100",23,22,35,22.5384615384615,0.0137532552083333,0.52,1,19.3580772918273,47.4380114317736,19.4270895790559,0.369359775445805,0.52187159563613,34.8372879423088,34.8372879423088,35.2222481273751,1
"101",37,27,NA,34.0909090909091,0.00189821787148594,0.44,1,42.8524075227976,157.467914458361,44.302446679741,0.00709447179424815,0.612644150452201,111.009198105513,111.009198105513,117.882219259874,1
"102",16.3333333333333,15.6666666666667,23,21.25,0.00465251526606572,0.64,1,15.215708297807,27.075700008233,15.3761793869945,0.196927231071864,0.654762419785256,15.1385154607905,24.985061258226,15.2662526775083,0.660069210658123
"103",21,17,NA,30.1428571428571,0.00241141732283465,0.28,1,23.7280061401852,NA,24.0352568400155,0.0653680194098552,0.301048584077653,219.450161305132,219.450161305132,236.460652367224,1
"104",25,21,NA,26.0909090909091,0.00346903669724771,0.44,1,20.6208539273418,NA,20.851817810445,0.100713865575799,0.460669339942461,22.2906902596785,343.671616373773,22.5493047607399,0.502473082180441
"105",13,11.6666666666667,NA,23.5454545454545,0.00241613418530351,0.44,3,133.078386979483,133.078386979483,150.725939181375,-2.9386397755032e-06,1,26.460809771995,140.008126153865,28.3340387264613,0.631514631386687
"106",25,23,NA,28.6363636363636,0.00257578337874659,0.44,1,26.3131574116044,327.648326956978,26.966945302761,0.0265013363166416,0.517369717331345,58.1195592196578,94.0519293076253,61.0282954873216,0.816990732135176
"107",23,21,34,25,0.00833333333333333,0.64,1,21.5495735431001,33.3791169092678,21.6738120721793,0.182811122843235,0.650251518534517,33.0177315041775,33.0177315041775,33.3691163750164,1
"108",19,17,31,21.25,0.00662525879917184,0.64,1,15.7626018626995,27.7717511726991,15.9233901278072,0.189963433288885,0.654913130178857,29.7673112960848,29.7673112960848,30.9243046642157,1
"109",19,17,75,33.8571428571429,0.0015449615336108,0.56,1,28.7642193063053,63.9204508518918,29.2940272988009,0.0306416590151963,0.645726804330134,22.4048951332345,68.4801167287912,22.8233358995625,0.590139096328855
"110",16.2,15,NA,22.4545454545455,0.00433629587155963,0.44,1,17.1174796906558,NA,17.2616931241643,0.196321843440685,0.448503660892199,14.0635399000168,NA,14.1760892184416,0.457086734716484
"111",15,14.3333333333333,NA,21,0.00431034482758621,0.48,1,14.2197129142974,NA,14.3056411696102,0.400150889607015,0.482773810163911,13.4435031769344,NA,13.500790761482,0.471385827083889
"112",25,23.5,58,31.4,0.00268163615560641,0.6,1,30.770753137736,55.3400452858741,31.404314480762,0.0237599293255296,0.712057814644323,48.8035972724146,48.8035972724146,50.3455660103327,1
"113",25,24,40,26.3333333333333,0.00470317725752508,0.6,1,23.7387439051696,47.6100065258844,24.1248636612767,0.0513552114987606,0.659497513048446,30.1829063026542,39.0891183864379,30.5905017219772,0.813924904932917
"114",24.3333333333333,23.6666666666667,75,32.1428571428571,0.00182917724354188,0.56,1,25.0078320171979,55.2987301127329,25.2410102710433,0.0828325255087766,0.589833913801497,22.761977366873,44.5998299909193,22.8446806587207,0.548826729101075
"115",24,23.5,NA,32.1111111111111,0.00256199392712551,0.36,1,24.9391304874583,NA,25.0185758442457,0.249401356620899,0.362386820604141,23.7889871549637,NA,23.8216670661864,0.350215812120451
"116",18.3333333333333,17.6666666666667,55,22.5384615384615,0.0051075918762089,0.52,1,16.660708316855,53.9698557901301,16.7762815848535,0.253081431057677,0.526291364137466,16.9170433110381,47.1689783709492,17.0640994665084,0.550287922950625
"117",25,24,70,35.4,0.00154295589203423,0.6,1,41.7623827877491,61.0583171248366,43.0027209241935,0.00864324707592022,0.814498697042791,49.502593822954,58.6164471327751,51.3590194033805,0.915945571096683
"118",25,23,NA,29.7272727272727,0.00441734813084112,0.44,1,24.6200876051473,NA,24.7659661840612,0.136194320433826,0.450701061545902,33.2707103969431,83.5189284728006,33.8751536852592,0.61956495127072
"119",21,20,NA,25.3636363636364,0.00371804326450344,0.44,1,19.8631610508772,NA,20.1202330046484,0.0933312814188775,0.463838506009828,24.0811164597929,116.139717441665,24.5273426820159,0.544370487289922
"120",21,17,64,30.2307692307692,0.00198767406849831,0.52,1,27.8013827670991,82.2164880517077,28.6380295547914,0.0192200285851815,0.634242726259453,73.2895009048535,73.2895009048535,78.4361130648673,1
