"","t501","t502","MGT","Pmax","t50f1","t50f2","MGTf","Pmaxf"
"97",4.42857142857143,4.35714285714286,4.95238095238095,0.84,4.26815839335473,4.59000927041571,4.28814085399018,0.841132914879401
"98",3.9,3.8,4.45,0.8,3.72534394793365,4.15337091662235,3.74758130206566,0.801213385357038
"99",3.8125,3.75,4.75,0.96,3.89424581953301,3.96137826275127,3.91761650941979,0.961821279483766
"100",4.2,4.1,4.57894736842105,0.76,3.77528200705606,4.7611547776702,3.86454695644284,0.78947667174509
"101",4.625,4.5,4.95454545454545,0.88,4.28962687157382,4.58073989213191,4.32583660743473,0.886488170509231
"102",4.875,4.75,5.04166666666667,0.96,4.31936005959303,4.34706044037632,4.39397208951463,0.991287253726107
"103",4.8,4.7,5.80952380952381,0.84,5.03385013631208,5.5543486626815,5.11866095955473,0.880189605183496
"104",5,4.875,6,0.84,5.15564737158895,5.67902383845344,5.23067242542269,0.874353289093661
"105",3.83333333333333,3.75,5.26086956521739,0.92,4.09598460150545,4.27653679869088,4.1588977762318,0.940934087169469
"106",4.08333333333333,4,4.59090909090909,0.88,3.80586938688401,4.07427463367501,3.83909526149579,0.884436781566087
"107",3.875,3.8125,4.52173913043478,0.92,3.84594331467868,3.96202846819649,3.86055091740484,0.920325587748056
"108",4,3.92857142857143,4.69565217391304,0.92,3.96712482923002,4.11396422216675,3.99062068145425,0.921824318954042
"109",4.9,4.8,5.86363636363636,0.88,4.88424738987723,5.20210849236644,4.92604927825951,0.891127971300366
"110",4.91666666666667,4.83333333333333,5.66666666666667,0.96,4.82303978779742,4.89920372499581,4.85836735975096,0.968093986001424
"111",4.91666666666667,4.83333333333333,5.59090909090909,0.88,4.80987849718629,5.10975575414895,4.8447748548789,0.887172756213782
"112",4.3,4.2,5.16666666666667,0.96,4.10886092634196,4.1826141117137,4.14945818250735,0.968757901894908
"113",3.625,3.5625,4.47826086956522,0.92,3.56966690320921,3.71826624408692,3.59677916672576,0.922434213834945
"114",4.8125,4.75,6.27272727272727,0.88,5.03504747167491,5.32968737923837,5.06668674497828,0.886180771931191
"115",4.875,4.75,5.54545454545455,0.88,4.72190981772001,5.05626404152491,4.78516261759423,0.903935346602714
